text,is_ai,notes
"In today's digital environment, social media platforms play a central role in shaping public conversation and personal identity.",True,"AI: broad claim with phrases like 'digital environment' and 'shaping public conversation'."
"Half the time I open an app to check one thing and look up twenty minutes later wondering what I was even doing.",False,"Human: anecdotal timing, self-aware frustration, and conversational tone."
"Effective study habits usually involve a structured plan, focused sessions, and regular review of the material.",True,"AI: tidy three-part recipe for studying, no personal struggle or example."
"When I turn off my phone, set a short timer, and actually sit still, I remember way more than when I half-study with videos on.",False,"Human: first person, concrete behavior, and specific comparison to watching videos."
"Climate change represents a complex global challenge that requires coordinated responses from governments, businesses, and communities.",True,"AI: formal framing with 'complex global challenge' and 'coordinated responses'."
"Every summer feels hotter than the last and my city now has smoke days from fires, which is starting to scare me.",False,"Human: local detail about 'smoke days' and emotional reaction, not abstract."
"Constructive feedback, when delivered clearly, provides valuable insight that supports long-term professional growth.",True,"AI: abstract nouns like 'insight' and 'professional growth', no concrete scenario."
"The only reason I improved at my job is because one manager finally told me my emails made no sense.",False,"Human: blunt anecdote, specific detail about emails, and honest tone."
"Regular exercise supports physical health, helps regulate mood, and reduces the risk of certain chronic conditions.",True,"AI: textbook-style health advice with no specific person or scene."
"If I manage to drag myself out for a quick run, my whole day feels less foggy, even when I am still slow.",False,"Human: first-person experience, subjective 'less foggy' description, and self-deprecation."
"Group projects often highlight the importance of clear communication, shared expectations, and mutual accountability.",True,"AI: corporate-sounding generalization with a neat list of abstract values."
"Every group project has one person who disappears and one person who quietly does everything at the last minute.",False,"Human: humorous stereotype and timing reference that feel like lived experience."
"Professional email etiquette emphasizes concise subject lines, clear requests, and a respectful tone throughout the message.",True,"AI: prescriptive advice in general terms, focusing on ideal behavior."
"If your email is three long paragraphs with no line breaks, nobody is reading past the first sentence.",False,"Human: punchy warning, hyperbole, and direct address to the reader."
"Learning to code typically involves persistent practice, careful debugging, and a willingness to learn from mistakes.",True,"AI: generic guidance using abstract nouns like 'practice' and 'willingness'."
"The first time a missing semicolon kept me stuck for an hour, I seriously thought about closing my laptop for good.",False,"Human: very specific error and emotional reaction."
"Travel offers people a powerful way to expand their perspective and gain insight into other cultures and daily routines.",True,"AI: big claims about perspective and culture without naming a place or moment."
"I still think about a tiny bakery in Lisbon where they gave me free pastries because I mangled the word for thank you.",False,"Human: concrete location, action, and self-deprecating mistake."
"Effective time management requires prioritizing key tasks, minimizing distractions, and aligning daily work with long-term goals.",True,"AI: clean triad and abstract phrasing about 'time management' and 'goals'."
"My calendar looks neat, but half those blocks are me pretending I will start sooner than I ever do.",False,"Human: confession of self-deception, informal phrasing, and contradiction."
"Excessive smartphone use can reduce attention span, interfere with sleep quality, and weaken in-person social connections.",True,"AI: medical-style side effects in a neutral voice."
"I tell myself I am going to sleep, then end up scrolling nonsense for an hour with the screen right in my face.",False,"Human: specific bedtime habit, casual 'nonsense', and sensory detail."
"A healthy workplace culture is grounded in trust, transparent communication, and respect for diverse perspectives.",True,"AI: aspirational HR language, generic values, no scene."
"The best team I worked with let people admit they messed up without whispering about it in the hallway afterward.",False,"Human: specific 'whispering in the hallway' image and personal memory."
"Online learning environments provide flexible access to courses but often make motivation and focus more challenging.",True,"AI: high-level pros and cons summary."
"Watching lectures in bed sounds great until you realize you have not taken a single note in three weeks.",False,"Human: self-report, specific time span, and contrast between expectation and reality."
"Creative block often appears when people focus too heavily on outcomes instead of exploring ideas freely.",True,"AI: psychological explanation in abstract wording."
"Staring at a blank page for an hour feels worse than writing one bad paragraph and fixing it later.",False,"Human: vivid feeling about the blank page and pragmatic attitude."
"Well-planned meetings with clear agendas and defined action items can improve coordination across teams.",True,"AI: familiar meeting advice, corporate phrasing, and nominalizations."
"If a meeting ends without someone saying who does what next, it was probably an email pretending to be important.",False,"Human: sarcastic comment and casual framing."
"Developing a consistent reading habit helps expand vocabulary, deepen empathy, and expose readers to new ideas.",True,"AI: tidy list of benefits, academic tone."
"The stack of half-finished books on my nightstand is ridiculous, but sometimes one of them hits me right when I need it.",False,"Human: bedroom detail, emotional timing, and informal voice."
"Thoughtful career planning involves aligning personal strengths, interests, and values with realistic opportunities.",True,"AI: coaching-style generalization about careers."
"Most of my career planning has been saying yes to things that seemed interesting and figuring out the rest later.",False,"Human: messy, self-aware narrative."
"A balanced diet that emphasizes whole foods and limits highly processed items supports steady energy and long-term health.",True,"AI: standard nutritional advice, cautious tone."
"Every time I decide to eat better, someone shows up with free pizza and the plan disappears in about ten minutes.",False,"Human: humorous, specific image of temptation."
"Managing digital notifications intentionally helps reduce mental clutter and create space for deep work.",True,"AI: trendy productivity language with terms like 'mental clutter' and 'deep work'."
"Turning off most alerts felt strange at first, but now the quiet is the only reason I finish anything on time.",False,"Human: subjective reaction to quiet and concrete benefit."
"Good sleep habits, like going to bed at a steady time and avoiding bright screens late at night, improve overall well-being.",True,"AI: textbook health advice with examples in list form."
"If I stay up scrolling in bed, I wake up feeling like I borrowed my body from someone else for the day.",False,"Human: odd metaphor, emotional description, and first-person voice."
"Learning a new language opens up opportunities for cross-cultural connection and cognitive development.",True,"AI: high-level benefits with vague nouns 'connection' and 'development'."
"The first time I ordered food in another language without switching back to English halfway through, I felt weirdly proud.",False,"Human: specific situation and emotional payoff."
"Responsible budgeting means tracking expenses, setting realistic limits, and adjusting spending based on priorities.",True,"AI: generic personal finance advice in neat three-part structure."
"My budget is mostly me checking my bank app and deciding whether the number scares me enough to stay home.",False,"Human: candid confession and simple mental rule."
"Online arguments often generate more heat than understanding when people focus on winning instead of listening.",True,"AI: cliché metaphor and moral summary."
"Arguing in the comments has never changed my mind, it only wrecks my mood for the rest of the day.",False,"Human: blunt assessment of personal experience."
"Deadlines can act as strong motivators, helping people overcome procrastination and maintain momentum.",True,"AI: motivational language and generic 'people'."
"Nothing gets done until the deadline is close enough to make my chest tighten a little.",False,"Human: bodily stress detail tied to deadline."
"Maintaining long-distance friendships requires deliberate communication and shared effort to stay connected over time.",True,"AI: abstract phrases like 'deliberate communication' and 'shared effort'."
"Most of my long-distance friendships live in voice notes and random memes we send each other way too late at night.",False,"Human: concrete channels (voice notes, memes) and specific timing."
"Successful job interviews usually combine preparation, clear examples from past work, and genuine interest in the role.",True,"AI: structured formula for success, professional tone."
"The interview I got was the one where I admitted I had to search half the jargon in the job ad.",False,"Human: surprising outcome and self-deprecating honesty."
"Pursuing hobbies outside of work helps protect against burnout and support a more balanced lifestyle.",True,"AI: wellness framing, abstract 'burnout' and 'balanced lifestyle'."
"When my hobby started feeling like another chore, I dropped it for a month and liked it again when I came back.",False,"Human: personal timeline and emotional reset."
"Constant exposure to breaking news can heighten anxiety and distort one’s sense of what is normal.",True,"AI: high-level mental health framing, abstract 'sense of what is normal'."
"I had to stop reading the news first thing in the morning or I would start the day tense before coffee.",False,"Human: daily routine detail and physical feeling."
"Perfectionism often slows progress by prioritizing flawless results over experimentation and learning.",True,"AI: psychology-flavored summary, no concrete story."
"Some of my best work started as rough drafts I would never have shown anyone on purpose.",False,"Human: self-conscious admission about 'rough drafts'."
"Choosing effective collaboration tools can streamline communication and reduce friction in shared projects.",True,"AI: productivity language and vague 'effective tools'."
"Our team chat is half serious updates and half chaotic memes, and somehow both parts keep everyone moving.",False,"Human: specific mix of chat content and observational humor."
"Overcoming fear of public speaking generally involves repeated practice, supportive feedback, and gradual exposure.",True,"AI: therapy-style phrasing with generic steps."
"My hands still shake when I talk in front of people, but at least my voice does not crack every other sentence now.",False,"Human: concrete physical symptoms and incremental progress."
"Thoughtful code reviews can raise code quality, spread knowledge, and reinforce shared standards within a team.",True,"AI: engineering platitude with benefits listed."
"My favorite code review comments are the ones that show me a new trick instead of only saying this is wrong.",False,"Human: clear preference and quoted phrasing."
"Unstructured time and occasional boredom can give creative ideas room to surface without pressure.",True,"AI: generic connection between boredom and creativity."
"Some of my best ideas showed up while I was stuck on a slow train with no internet and nothing else to do.",False,"Human: specific location, inconvenience, and surprising benefit."
"Setting personal boundaries is important for maintaining emotional health and protecting limited energy.",True,"AI: self-help language, broad concepts."
"Saying no felt rude at first, but I was exhausted from saying yes to every request that showed up.",False,"Human: personal struggle with saying no and consequence."
"Mistakes, when reflected on thoughtfully, can provide lessons that guide future decisions and behavior.",True,"AI: generic 'mistakes as lessons' framing."
"The error that embarrassed me the most is also the one I never repeated again.",False,"Human: simple narrative and emotional weight."
"Digital calendars help people visualize commitments, avoid scheduling conflicts, and plan ahead more effectively.",True,"AI: neutral description of tool benefits."
"If my calendar did not pop up and yell at me before meetings, I would miss half of them without thinking.",False,"Human: personification of the calendar and self-deprecation."
"Balancing independent work with collaboration lets individuals combine deep focus time with shared creativity.",True,"AI: idealized summary of solo vs group work."
"I do my clearest thinking alone, then bring the messy version to other people so we can fix it together.",False,"Human: personal workflow and vivid 'messy version' phrasing."
"An unchecked flow of email can quickly become overwhelming and make important messages easy to miss.",True,"AI: formal warning, abstract 'unchecked flow'."
"If I ignore my inbox for one afternoon, it grows by fifty messages and I lose the one I actually needed.",False,"Human: specific number and personal inconvenience."
"Regular gratitude practice has been linked to better mood, stronger relationships, and greater life satisfaction.",True,"AI: research-sounding claim with a neat triad."
"When I write down a few good things before bed, the day feels less like a blur and more like something I really lived.",False,"Human: first-person effect and emotional clarity."
"Parenting often involves balancing firm rules with warmth so children feel both safe and independent.",True,"AI: general parenting principle phrased abstractly."
"My kid asked why I have screen rules for them but still scroll on my phone at night, and I did not have a good answer.",False,"Human: specific, uncomfortable question and honest response."
"Online shopping has transformed purchasing behavior by simplifying comparison and expanding access to global products.",True,"AI: macro-level viewpoint with abstract terms like 'purchasing behavior'."
"I add things to my cart like I am going to buy them, then close the tab and pretend that counts as saving money.",False,"Human: everyday shopping habit and playful self-justification."
"Debugging complex systems requires systematic testing, careful logging, and a methodical search for root causes.",True,"AI: technical summary of debugging as a process."
"I once fixed a bug by commenting out the same line three times and pretending that was the plan.",False,"Human: specific, slightly absurd behavior and humor."
"Writing strong essays involves a clear thesis, coherent structure, and evidence that supports each main point.",True,"AI: standard school advice, formal tone."
"I spend more time rewriting the first sentence of an essay than writing the next three pages.",False,"Human: exaggerated but believable personal habit."
"Video games can encourage strategic thinking, problem-solving, and collaboration in online communities.",True,"AI: positive framing of games in educator tone."
"I told myself I would play one more round and suddenly it was two in the morning and I had work the next day.",False,"Human: relatable lost-time story and regret."
"Daily commuting patterns affect stress levels, time use, and perception of work-life balance.",True,"AI: high-level look at commuting with abstract outcomes."
"When traffic is bad, I use the drive home to rant at the radio instead of at the people I am annoyed with.",False,"Human: quirky coping strategy and concrete behavior."
"Cooking at home allows people to control ingredients, adjust flavors, and experiment with recipes.",True,"AI: general benefits of home cooking with no mishaps."
"I followed the recipe exactly and still ended up with something that looked like it lost a fight with the oven.",False,"Human: vivid, humorous description of failure."
"Seasonal holidays provide opportunities to reinforce family traditions and create shared memories.",True,"AI: sentimental but generic holiday framing."
"Our holiday plans mostly involve arguing about who drives where and then laughing about it later.",False,"Human: family conflict and reconciliation in one line."
"Structured exercise classes can support accountability, proper form, and consistent training.",True,"AI: general gym advice in brochure tone."
"I only push myself in workout classes because I do not want to be the person who quits first in front of everyone.",False,"Human: social pressure and honest motive."
"Procrastination often appears when tasks feel ambiguous, overwhelming, or disconnected from personal goals.",True,"AI: psychological explanation, vague terms."
"I will scrub the kitchen sink before I start one awkward email I do not want to write.",False,"Human: specific avoidance behavior and humor."
"Sharing household chores fairly helps reduce resentment and balance the workload at home.",True,"AI: relationship advice framed at a high level."
"We made a chore chart and then ignored it for three weeks until the sink reminded us what we skipped.",False,"Human: chore chart failure and personified sink."
"Remote work enables organizations to rethink productivity by combining flexible schedules with clear performance expectations.",True,"AI: formal, abstract description of remote work, no concrete scene."
"Working from home feels great until you are on a call at the kitchen table while someone hunts for clean forks behind you.",False,"Human: messy, specific kitchen picture and mild embarrassment."
"In many industries, social media now plays a central role in shaping public opinion and everyday communication.",True,"AI: high-level claim about social media with broad phrases."
"Most days I open one app to check a message and somehow come back to reality half an hour later with no idea what I read.",False,"Human: time slip, self-awareness, and informal tone."
"Developing strong study habits requires a consistent routine, a quiet environment, and a clear plan for each session.",True,"AI: prescriptive list using generic study advice."
"When I turn my phone off, pick one small goal, and sit at my desk, I remember more in twenty minutes than an entire distracted evening.",False,"Human: precise comparison, personal view, and casual phrasing."
"Climate policy has become a critical area where governments, businesses, and communities must coordinate long-term strategies.",True,"AI: policy-focused, abstract, and institutional language."
"When my city started sending air quality alerts in summer, it stopped feeling like a distant problem and started feeling personal.",False,"Human: personal turning point triggered by local alerts."
"Constructive feedback, delivered with clarity and respect, can accelerate skill development and improve team performance.",True,"AI: standard management phrase with motivational tone."
"The feedback that helped me most was one blunt sentence that made me reread my work three times with new eyes.",False,"Human: single impactful comment, introspective effect."
"Regular physical activity supports cardiovascular health, improves mood, and reduces long-term disease risk.",True,"AI: textbook health framing with clinical vocabulary."
"If I walk around the block after lunch, I am less tempted to fall asleep on my keyboard in the afternoon.",False,"Human: office detail and self-deprecating remark."
"Collaborative projects often highlight the importance of shared goals, mutual trust, and clear role definitions.",True,"AI: generic project-management summary with three abstract nouns."
"Every group assignment eventually turns into one person herding everyone else toward the deadline like a stressed shepherd.",False,"Human: metaphor and emotional description of group work."
"Professional messages benefit from concise subject lines, specific requests, and a courteous closing.",True,"AI: polished advice using neutral corporate voice."
"If your email starts with three sentences of warm-up, the main point is probably hiding somewhere it should not be.",False,"Human: snarky observation about buried messages."
"Learning programming involves patience, experimentation, and a willingness to break problems into smaller steps.",True,"AI: generic programming guidance with classroom tone."
"The first time I fixed a bug by deleting three lines I barely understood, I decided not to question the miracle.",False,"Human: humorous acceptance of partial understanding."
"Travel can broaden perspective by exposing people to unfamiliar customs, languages, and daily routines.",True,"AI: tourism cliché phrased politely."
"I still remember a tiny cafe where the owner laughed at my accent and then handed me extra food for trying.",False,"Human: vivid memory with emotional nuance."
"Effective scheduling requires prioritizing tasks, allocating realistic time blocks, and adjusting plans as conditions change.",True,"AI: planning language with abstract 'conditions'."
"My planner looks serious on Monday morning and completely unhinged by Friday afternoon with crossed-out boxes.",False,"Human: vivid contrast between organized plan and chaotic reality."
"High levels of smartphone use are linked to reduced attention, poorer sleep quality, and greater distraction.",True,"AI: research-style linking phrase and health concerns."
"I tell myself I am only checking one notification and end up in a maze of random feeds before I blink twice.",False,"Human: abstracted feeling of getting lost, casual voice."
"A supportive work culture is built on psychological safety, transparent communication, and shared values.",True,"AI: HR-flavored phrase set with idealized tone."
"The best boss I had admitted their own mistakes out loud, which made mine feel fixable instead of fatal.",False,"Human: specific behavior and personal emotional impact."
"Online education has expanded access to learning while also raising questions about motivation, focus, and accountability.",True,"AI: balanced framing with abstract nouns."
"Watching lectures at double speed feels efficient until I realize I remember almost nothing from the past week.",False,"Human: concrete habit and recognition of limited retention."
"Creative work flourishes when individuals protect time for experimentation without immediate pressure to perform.",True,"AI: creativity advice with soft, vague language."
"Scribbling nonsense ideas in a notebook with no plan has given me more decent ideas than staring at a blank screen in silence.",False,"Human: quirky method, first-person perspective, and comparison."
"Structured meetings with clear objectives and follow-up actions can significantly improve organizational alignment.",True,"AI: corporate phrasing about meetings and 'alignment'."
"If the only thing decided in a meeting is when to meet again, nothing really happened.",False,"Human: sharp summary and dry humor."
"Developing a reading habit exposes people to new viewpoints, styles, and ways of thinking.",True,"AI: generic benefit statement about reading."
"The books I finish fastest are usually the ones I did not mean to start yet.",False,"Human: confession about reading patterns."
"Intentional career planning includes reflecting on strengths, exploring paths, and trying small steps in new directions.",True,"AI: career advice with introspective language."
"Most of my job changes started with me saying yes to a random project that sounded fun.",False,"Human: messy, intuitive approach to career."
"A nutrient-dense diet that emphasizes whole ingredients supports stable energy and overall health.",True,"AI: diet advice with nutrition jargon like 'nutrient-dense'."
"I tell myself I will cook something healthy and then remember I forgot to buy half the ingredients.",False,"Human: everyday failure and mild resignation."
"Managing alerts thoughtfully can reduce digital noise and help protect focused work time.",True,"AI: productivity jargon with 'digital noise'."
"Once I turned off most app sounds, I realized how often I had been jumping every time my phone buzzed.",False,"Human: physical reaction, concrete detail."
"Consistent sleep routines support cognitive function, mood regulation, and physical recovery.",True,"AI: health communication with clinical framing."
"When I actually go to bed at the same time for a few nights, mornings feel less like a personal attack.",False,"Human: anthropomorphizing mornings and casual tone."
"Studying additional languages can increase cultural awareness and strengthen mental flexibility.",True,"AI: educational slogan about languages."
"The first time someone understood my sentence in another language without slowing down, I wanted to high-five myself.",False,"Human: small victory with emotional celebration."
"Budgeting effectively involves tracking spending, classifying expenses, and planning ahead for irregular costs.",True,"AI: financial advice listing steps."
"My budget is a spreadsheet I open when I am scared I spent too much, not a thing I follow day to day.",False,"Human: honest admission of sporadic use."
"Online arguments frequently reward quick reactions more than thoughtful listening, which can deepen misunderstandings.",True,"AI: reflective note about online discourse."
"I have never logged off a heated comment thread feeling proud of how I spent that hour.",False,"Human: direct reflection and regret."
"Deadlines often provide structure and urgency that help people break large projects into manageable pieces.",True,"AI: neutral statement about deadlines."
"The closer a deadline gets, the more chores around my house suddenly feel urgent.",False,"Human: procrastination through cleaning, humorous tone."
"Maintaining long-distance relationships often requires more deliberate check-ins and shared rituals than friendships based on proximity.",True,"AI: analytic description of relationship maintenance."
"Most of my long-distance friendships are kept alive by ugly selfies, voice notes, and badly timed memes.",False,"Human: sensory detail and emotional texture."
"Job interviews offer employers a chance to evaluate skills, communication style, and cultural fit.",True,"AI: high-level HR summary."
"The interview that worked out was the one where I laughed about a mistake instead of pretending it never happened.",False,"Human: counterintuitive anecdote and authenticity."
"Hobbies outside of work provide opportunities for relaxation, self-expression, and skill development.",True,"AI: general claim about benefits of hobbies."
"When my hobby starts to feel like homework, I know I have pushed it too hard.",False,"Human: introspective limit-setting."
"Staying constantly informed about breaking news can increase stress and create a sense of constant urgency.",True,"AI: abstract linking of news to stress."
"I realized I felt better when I stopped checking headlines every time I had a spare thirty seconds.",False,"Human: concrete behavioral change and outcome."
"Perfectionism can keep people from finishing projects by encouraging endless revisions and self-criticism.",True,"AI: broad critique of perfectionism."
"Some of my favorite pieces still have small flaws I notice, but I like them more than the things I overworked.",False,"Human: acceptance of imperfection with personal judgment."
"Choosing collaboration platforms with clear interfaces and reliable features can reduce friction in team communication.",True,"AI: software selection advice with product language."
"Our team chat contains equal parts serious questions and nonsense gifs, and somehow both help the work move forward.",False,"Human: specific chat content, informal acronym usage."
"Becoming more comfortable with public speaking usually involves starting with small audiences and building up over time.",True,"AI: stepwise developmental framing."
"My first talk was in front of ten people, and my hands still shook like I was on stage in a stadium.",False,"Human: fear exaggerated through simile."
"Code review processes can enforce standards, catch bugs early, and help junior engineers learn faster.",True,"AI: standard engineering practice described abstractly."
"The comments I remember are the ones that explained why a change helped, not the ones that said fix this with no context.",False,"Human: specific preference and frustration."
"Unplanned free time can sometimes spark new ideas by giving the mind space to wander.",True,"AI: creativity and free time linked in general terms."
"Some of my better ideas arrived while I was waiting in a long line with nothing to do but think.",False,"Human: mundane setting turned into creative moment."
"Respecting personal boundaries helps people conserve energy and avoid resentment in close relationships.",True,"AI: therapy-adjacent language about boundaries."
"Saying no stopped feeling mean once I realized I was less bitter about the things I agreed to.",False,"Human: emotional shift described plainly."
"Reflecting on past mistakes allows people to identify patterns and make different choices in the future.",True,"AI: reflective sentence with generic 'people'."
"The time I sent an email to the wrong person lives rent free in my memory and keeps me double-checking addresses now.",False,"Human: specific incident and lasting effect."
"Digital calendars and task apps help users coordinate commitments and visualize upcoming responsibilities.",True,"AI: neutral explanation of tools."
"If I do not put something on my calendar the moment I hear about it, there is a good chance I forget it existed.",False,"Human: cognitive limitation described candidly."
"Finding the right mix of solo focus time and collaborative sessions allows people to work efficiently while still sharing ideas.",True,"AI: aspirational balance statement."
"I like to think alone first, then bring my half-formed plans to other people and see what survives.",False,"Human: personal workflow, self-effacing metaphor."
"Unchecked email volume can clog inboxes and make important messages difficult to identify quickly.",True,"AI: email metaphor and formal tone."
"If I ignore my inbox for a day, it turns into a digital junk drawer with one important thing hiding at the bottom.",False,"Human: junk drawer metaphor and experience."
"Practicing gratitude regularly has been associated with improved mood and greater appreciation for everyday life.",True,"AI: research-sounding framing of gratitude."
"When I write down three things that did not go wrong before bed, my day feels calmer in hindsight.",False,"Human: quirky twist on gratitude and personal effect."
